date,삼성전자,SK하이닉스,SOX,마이크론,USDKRW
2008-09-30,7714.54541015625,14885.6533203125,306.7416076660156,3.949305295944214,1204.800048828125
2008-10-31,7542.79150390625,8077.48486328125,239.35418701171875,4.592895984649658,1289.199951171875
2008-11-30,6955.96923828125,5761.94140625,198.14413452148438,2.6718761920928955,1467.9000244140625
2008-12-31,6526.591796875,5598.53564453125,212.0673828125,2.5743625164031982,1242.199951171875
2009-01-31,7076.50439453125,7470.2822265625,208.15927124023438,3.6275103092193604,1377.0999755859375
2009-02-28,6902.84521484375,7219.6025390625,198.9037628173828,3.139941453933716,1530.300048828125
2009-03-31,8219.7412109375,10319.6875,230.79832458496094,3.9590566158294678,1375.0999755859375
2009-04-30,8567.0537109375,12032.669921875,258.40496826171875,4.758668422698975,1278.0999755859375
2009-05-31,8075.03076171875,10779.2685546875,271.17877197265625,4.934194564819336,1250.0999755859375
2009-06-30,8574.248046875,11405.96875,263.0227355957031,4.934194564819336,1272.5999755859375
2009-07-31,10486.0703125,14706.5966796875,301.59405517578125,6.231126308441162,1223.0999755859375
2009-08-31,11166.798828125,18341.46484375,306.03192138671875,7.186760425567627,1249.5
2009-09-30,11804.076171875,16544.916015625,325.59246826171875,7.996122360229492,1173.699951171875
2009-10-31,10471.5908203125,15082.619140625,296.4665222167969,6.621181488037109,1185.5
2009-11-30,10428.138671875,15416.853515625,309.9000244140625,7.33303165435791,1160.5999755859375
2009-12-31,11683.681640625,19699.12890625,359.7359313964844,10.297450065612793,1151.0999755859375
2010-01-31,11464.3388671875,19358.75390625,315.9171447753906,8.50319766998291,1158.199951171875
2010-02-28,10879.4228515625,17869.615234375,338.69610595703125,8.83474349975586,1161.4000244140625
2010-03-31,11961.515625,22719.94140625,366.3927307128906,10.11217212677002,1131.5999755859375
2010-04-30,12414.8271484375,24166.533203125,375.88812255859375,9.117533683776855,1107.9000244140625
2010-05-31,11347.353515625,21401.0,355.4880065917969,8.863994598388672,1200.0
2010-06-30,11389.65234375,21315.908203125,332.1392822265625,8.278915405273438,1227.199951171875
2010-07-31,11919.40234375,19146.021484375,348.64129638671875,7.098998546600342,1184.0999755859375
2010-08-31,11124.77734375,17954.71484375,307.3412780761719,6.299386501312256,1193.0999755859375
2010-09-30,11433.80078125,18848.197265625,349.0710754394531,7.030738353729248,1139.199951171875
2010-10-31,10962.908203125,19699.12890625,372.4598083496094,8.054631233215332,1132.4000244140625
2010-11-30,12154.84765625,19996.953125,389.93133544921875,7.089248180389404,1163.0
2010-12-31,14039.671875,20681.48046875,411.620849609375,7.82059907913208,1127.0999755859375
2011-01-31,14513.08984375,25550.23828125,440.2969665527344,10.277947425842285,1117.4000244140625
2011-02-28,13655.0263671875,24429.998046875,458.398193359375,10.853276252746582,1127.0999755859375
2011-03-31,13788.169921875,26972.099609375,437.1484680175781,11.184822082519531,1098.300048828125
2011-04-30,13211.1982421875,29126.419921875,449.34259033203125,11.038553237915039,1068.800048828125
2011-05-31,13344.34765625,25938.025390625,439.38739013671875,9.94639778137207,1075.300048828125
2011-06-30,12227.3349609375,21586.296875,410.15155029296875,7.294025897979736,1068.9000244140625
2011-07-31,12493.791015625,20896.916015625,386.75286865234375,7.186760425567627,1049.0
2011-08-31,11013.4873046875,16459.015625,355.6179504394531,5.763060092926025,1071.800048828125
2011-09-30,12434.578125,18397.896484375,338.6561279296875,4.914692401885986,1177.0
2011-10-31,14329.3740234375,19690.4921875,386.3030700683594,5.451017379760742,1104.0
2011-11-30,14862.2802734375,19776.6640625,373.13946533203125,5.841071128845215,1140.300048828125
2011-12-31,15734.9716796875,18914.939453125,364.26373291015625,6.133612155914307,1155.4000244140625
2012-01-31,16463.71875,23137.408203125,408.7422180175781,7.411041736602783,1125.699951171875
2012-02-29,17936.078125,26024.1953125,423.9648742675781,8.337422370910645,1124.5999755859375
2012-03-31,18962.2734375,25205.55078125,438.4278869628906,7.898610591888428,1138.0
2012-04-30,20672.603515625,24171.478515625,413.1900939941406,6.426154613494873,1131.699951171875
2012-05-31,18010.4453125,19905.927734375,368.19183349609375,5.694800853729248,1179.699951171875
2012-06-30,17869.375,20552.224609375,385.2735595703125,6.153114318847656,1157.0999755859375
2012-07-31,19476.279296875,18699.50390625,383.534423828125,6.055602550506592,1136.5999755859375
2012-08-31,18345.498046875,18268.640625,395.9883728027344,6.055602550506592,1133.5999755859375
2012-09-30,20026.79296875,19604.322265625,382.0851135253906,5.831320762634277,1115.4000244140625
2012-10-31,19491.154296875,21413.953125,366.85247802734375,5.294993877410889,1090.300048828125
2012-11-30,20919.5234375,21026.173828125,374.1689453125,5.821568965911865,1082.0999755859375
2012-12-31,22761.58203125,22189.50390625,384.05999755859375,6.182369709014893,1038.0999755859375
2013-01-31,21654.91015625,21026.173828125,412.7300109863281,7.372036933898926,1085.4000244140625
2013-02-28,23090.599609375,22835.80078125,426.6300048828125,8.171649932861328,1083.9000244140625
2013-03-31,22836.36328125,24774.685546875,436.6600036621094,9.731867790222168,1112.0
2013-04-30,22731.671875,25765.681640625,444.3599853515625,9.185791969299316,1103.199951171875
2013-05-31,23000.869140625,27747.654296875,468.6300048828125,11.389601707458496,1127.5999755859375
2013-06-30,20077.634765625,26885.927734375,468.42999267578125,13.973715782165527,1147.199951171875
2013-07-31,19150.056640625,23439.009765625,477.7799987792969,12.910816192626953,1113.300048828125
